hospital_name,link,price,title
上海华美医疗美容医院,http://y.soyoung.com/cp7745,17800,【埋线提升】PPDO线雕提拉【肉毒素下颌缘提升+下面部埋线提升+2ml伊婉玻尿酸】
广州积美医疗美容,http://y.soyoung.com/cp253943,688,【伊婉玻尿酸1ml】韩国原装进口，新氧严选，质量效果双重保障【女神必备】
北京爱悦丽格医疗美容,http://y.soyoung.com/cp16773,680,【伊婉玻尿酸1ml】韩国医生亲自注射  打造小V脸   立体轮廓塑形  填充太阳穴 /苹果肌/额头
西安雁塔周安医疗美容诊所,http://y.soyoung.com/cp232540,749,【伊婉玻尿酸1ml】正品保障 伊婉玻尿酸抢购价880 填充抗衰保湿塑性选进口伊婉玻尿酸
杭州维多利亚医疗美容医院,http://y.soyoung.com/cp12221,2380,【肉毒素瘦脸】[超值套餐] 原装进口 伊婉II型  玻尿酸1ml + 衡力瘦脸100U  
西安医学院第二附属医院中韩医学美容部,http://y.soyoung.com/cp261809,699,【玻尿酸】伊婉 伊婉C 1ml ，【玻尿酸】伊婉C玻尿酸夏日特惠！！发日记100%返现+红包+脱毛/小气泡体验一次
西安维美大眼睛医疗美容,http://y.soyoung.com/cp297966,1299,【玻尿酸】伊婉 伊婉V 1ml ，伊婉大分子玻尿酸 进口玻尿酸 塑形神器 不限购 先验药后注射 无注射费
重庆长良医疗美容,http://y.soyoung.com/cp263372,666,【玻尿酸】伊婉 伊婉C 1ml ，【全网认证韩国名医】伊婉C 1ml 仅需666
昆明美吉星医疗美容,http://y.soyoung.com/cp272498,680,【玻尿酸】伊婉 伊婉C 1ml ，进口伊婉玻尿酸C型，打造精致立体容颜，悄悄变美就在现在！无附加费用，支持现场验货
上海韩镜医疗美容医院,http://y.soyoung.com/cp183417,9999,【伊婉玻尿酸1ml】9999元 大牌玻尿酸混搭新玩法  
翊美医疗美容门诊部,http://y.soyoung.com/cp304504,980,【玻尿酸】伊婉 伊婉V 1ml ，韩国进口伊婉玻尿酸 轻松立体五官
贵阳美莱医疗美容医院,http://y.soyoung.com/cp81022,966,【伊婉玻尿酸1ml】韩国原装进口 名医操作 既做既走 悄悄变美 无额外费用
杭州美莱医疗美容医院,http://y.soyoung.com/cp139323,2980,【伊婉玻尿酸1ml】【写日记返现200元】伊婉大分子玻尿酸  名医足量注射 安全保证 
