hospital_name,link,price,title
西安美莱医学美容医院,https://tao.yuemei.com/127153/,2/680次,西安伊婉V玻尿酸1ml垫下巴
天津河东美莱医学美容医院,https://tao.yuemei.com/93793/,8/82支1ml,伊婉C 玻尿酸 1ml  更适合亚洲人的玻尿酸
苏州美莱美容医院,https://tao.yuemei.com/113917/,2/980支1ml,苏州伊婉V玻尿酸1ml 美莱专业医师注射 正品保证 日记返现300元
上海天大医疗美容医院,https://tao.yuemei.com/25574/,9/80支1ml,达人推荐 伊婉C1ml 980元不限购  网红脸的秘密武器 重塑娇嫩肌肤
大连西岗艾加艾医疗美容诊所,https://tao.yuemei.com/129343/,6/80支1ml,伊婉C1ml 原装进口 自然填充元气少女脸
武汉忆美凯德医疗美容门诊部,https://tao.yuemei.com/43281/,1/782支1ml,韩国进口玻尿酸①第二支1元②院长亲自注射③正品支持验货
深圳晨曦医疗美容门诊部,https://tao.yuemei.com/57729/,7/80支1ml,深圳伊婉玻尿酸1ML 午餐美容 轻松变美  原装真品支持当场检验
苏州吴中维多利亚美容医院,https://tao.yuemei.com/125014/,2/980支1ml,丨V脸套餐丨 伊婉大分子+瘦脸针 正品保障/专业注射/高效塑形 4月特惠丨
北京蜜邦医疗美容诊所,https://tao.yuemei.com/104059/,6/48支1ml,韩国进口玻尿酸伊婉C隆鼻垫下巴填充王者不限购 私信即送小气泡哦
深圳蒳美迩医疗美容门诊部,https://tao.yuemei.com/31083/,7/68支1ml,深圳伊婉玻尿酸  深圳蒳美迩博士后注射 官方指定注射医院
广大医院,https://tao.yuemei.com/138598/,4/99支1ml,广州广大韩国进口伊婉C玻尿酸1ml 打造饱满童颜 强力除皱补水
北京蜜邦医疗美容诊所,https://tao.yuemei.com/104566/,1/782支1ml,韩国进口玻尿酸伊婉V隆鼻垫下巴塑形王者不限购
华人医联整形美容医院,https://tao.yuemei.com/120346/,9/80支1ml,成都伊婉玻尿酸1ml 重塑立体轮廓（每人限购一次）
瑞美医疗美容门诊部,https://tao.yuemei.com/139375/,1/280次,案例价1280  伊婉3ML 玻尿酸注射全面填充 模特招募 日记返现 到院有礼
上海百达丽医疗美容门诊部,https://tao.yuemei.com/65701/,6/80支1ml,伊婉C玻尿酸 原装进口 免注射费①咨询即送20元红包 ②写日记赠送医用修复面膜
上海薇琳医疗美容医院,https://tao.yuemei.com/26511/,9/80支1ml,上海伊婉玻尿酸1ml 正品保障 名医注射钜惠推出 完美塑形 逆龄面容 青春容颜
深圳伊婉门诊部,https://tao.yuemei.com/16919/,2/800支1ml,深圳瑞蓝玻尿酸1ml 为你重塑精致完美的脸 颜值逆袭变女神 直降4000元
北京凯润婷(原史三八）医疗美容医院,https://tao.yuemei.com/21291/,9/80支1ml,北京伊婉玻尿酸1ml 进口玻尿酸 品牌医院注射
深圳伊婉门诊部,https://tao.yuemei.com/8713/,1/980支1ml,深圳伊婉玻尿酸塑嘟嘟苹果肌1ml 脸蛋饱满可爱无敌  日记返现700元
深圳伊婉门诊部,https://tao.yuemei.com/16921/,2/800次,深圳衡力肉毒素瘦小腿 肌肉腿难减  节食 运动都没折  瘦腿针来帮你  超便宜啊
深圳伊婉门诊部,https://tao.yuemei.com/79465/,2/380次,深圳全切双眼皮 龙华伊婉整形
北京炫美医疗美容诊所,https://tao.yuemei.com/32037/,6/88支1ml,北京伊婉玻尿酸 1ml 韩国进口 精塑立体饱满面廓  打造立体五官
深圳千羽医疗美容医院,https://tao.yuemei.com/58773/,6/90支1ml, 韩国正品伊婉C玻尿酸1ml 千芊靓肤季特惠价 面部精雕塑型填充 支持检验
深圳健丽医疗美容门诊部,https://tao.yuemei.com/93391/,1/152部位,深圳健丽PPDO逆龄提拉线 2根大V线+10根小线 全面部加送伊婉玻尿酸1ml
广州韩妃医学美容门诊部,https://tao.yuemei.com/50829/,6/12支1ml,原装进口玻尿酸 限时特购|更适合亚洲人的玻尿酸 精致童颜即刻塑造
